N	Time(ms)
1	0.00015
1	8e-05
2	0.00096
2	0.00018
2	7e-05
2	7e-05
3	0.00069
3	0.00036
3	0.00018
3	0.00012
4	0.00046
4	0.00051
4	0.00011
4	0.00012
5	0.0005
5	0.00089
5	0.00026
5	0.0002
6	0.00088
6	0.00061
6	0.00024
6	0.00022
7	0.00145
7	0.00054
7	0.00023
7	0.00024
8	0.00081
8	0.00061
8	0.00032
8	0.00027
9	0.00072
9	0.00091
9	0.00037
9	0.00034
10	0.00097
10	0.00059
10	0.00047
10	0.00032
11	0.00098
11	0.00097
11	0.00045
11	0.00038
12	0.00099
12	0.00088
12	0.00056
12	0.00036
13	0.00113
13	0.00154
13	0.0006
13	0.000441
14	0.00155
14	0.00112
14	0.00062
14	0.00046
15	0.00104
15	0.00107
15	0.00059
15	0.00052
16	0.0012
16	0.0014
16	0.00069
16	0.00056
17	0.00092
17	0.00125
17	0.00069
17	0.00059
18	0.00109
18	0.00124
18	0.00075
18	0.00058
19	0.00129
19	0.00151
19	0.00077
19	0.00065
20	0.00131
20	0.0022
20	0.00102
20	0.00075
21	0.00139
21	0.00122
21	0.00086
21	0.00072
22	0.0014
22	0.0019
22	0.00103
22	0.00082
23	0.00151
23	0.0016
23	0.00119
23	0.00096
24	0.0016
24	0.00165
24	0.00113
24	0.00097
25	0.00158
25	0.00189
25	0.00106
25	0.00086
26	0.00181
26	0.002
26	0.00119
26	0.00099
27	0.00173
27	0.00247
27	0.00113
27	0.00095
28	0.00198
28	0.00241
28	0.00136
28	0.00118
29	0.00205
29	0.00267
29	0.00141
29	0.00119
30	0.00237
30	0.00428
30	0.00173
30	0.00145
31	0.00241
31	0.00294
31	0.0017
31	0.00133
32	0.00267
32	0.00266
32	0.00165
32	0.00149
33	0.00142
33	0.00227
33	0.00134
33	0.00109
34	0.0017
34	0.00131
34	0.00111
34	0.00099
35	0.00172
35	0.00138
35	0.00123
35	0.00115
36	0.00179
36	0.00205
36	0.0014
36	0.01913
37	0.002
37	0.00212
37	0.00149
