NReq	NNode	NDomain	Time(ms)
20	100	1	0.121331
20	100	6	0.139411
20	100	11	0.14383
20	100	16	0.14661
20	100	21	0.25119
20	100	26	0.343601
20	100	31	0.356862
20	100	36	0.393062
20	100	41	0.424982
20	100	46	0.473772
20	100	51	0.492652
20	100	56	0.527082
20	100	61	0.568212
20	100	66	0.687793
20	100	71	0.710853
20	100	76	0.720423
20	100	81	0.769194
20	100	86	0.820973
20	100	91	0.843374
20	100	96	0.877433
20	100	101	0.891954
20	100	106	0.942363
20	100	111	0.971584
20	100	116	1.00191
20	100	121	1.02515
20	100	126	1.03764
20	100	131	1.21013
20	100	136	1.29882
20	100	141	1.3533
20	100	146	1.34715
20	100	151	1.3846
20	100	156	1.29125
20	100	161	0.834944
20	100	166	0.845564
20	100	171	0.875223
20	100	176	0.896964
20	100	181	0.931004
20	100	186	0.927724
20	100	191	1.236
20	100	196	1.13953
20	100	201	0.993725
20	100	206	1.3033
20	100	211	1.02299
20	100	216	1.04757
20	100	221	1.3844
20	100	226	1.2318
20	100	231	1.10379
20	100	236	0.914414
20	100	241	0.928974
20	100	246	0.971403
20	100	251	0.978294
20	100	256	0.991744
20	100	261	1.13652
20	100	266	1.18161
20	100	271	1.16946
20	100	276	1.18332
20	100	281	1.20735
20	100	286	1.22807
20	100	291	1.2594
20	100	296	1.26111
20	100	301	1.30774
20	100	306	1.32678
20	100	311	1.3236
20	100	316	1.35559
20	100	321	1.36199
20	100	326	1.36875
20	100	331	1.41025
20	100	336	1.4319
20	100	341	1.41339
20	100	346	1.42652
20	100	351	1.47474
20	100	356	1.50432
20	100	361	1.49951
20	100	366	1.54665
20	100	371	1.5524
20	100	376	1.5705
20	100	381	1.62578
20	100	386	1.61674
20	100	391	1.63882
20	100	396	1.6488
20	100	401	1.6772
20	100	406	1.68231
20	100	411	1.68354
20	100	416	1.71904
20	100	421	1.69105
20	100	426	1.74709
20	100	431	1.74463
20	100	436	1.79254
20	100	441	1.79008
20	100	446	1.77525
20	100	451	1.79312
20	100	456	1.92217
20	100	461	1.9168
20	100	466	1.86459
20	100	471	1.91245
20	100	476	1.93364
