NReq	NNode	NDomain	Time(ms)
1	10	1	0.01048
3	10	1	0.00693
5	10	1	0.00756
7	10	1	0.01153
9	10	1	0.01436
11	10	1	0.01941
13	10	1	0.01451
15	10	1	0.02132
17	10	1	0.02313
19	10	1	0.01955
21	10	1	0.01941
23	10	1	0.05984
25	10	1	0.06714
27	10	1	0.07061
29	10	1	0.07918
31	10	1	0.07208
33	10	1	0.05565
35	10	1	0.09551
37	10	1	0.07863
39	10	1	0.09057
41	10	1	0.08934
43	10	1	0.09205
45	10	1	0.08296
47	10	1	0.10058
49	10	1	0.10887
51	10	1	0.10847
53	10	1	0.10081
55	10	1	0.10703
57	10	1	0.10805
59	10	1	0.12636
61	10	1	0.12744
63	10	1	0.14795
65	10	1	0.13909
67	10	1	0.17455
69	10	1	0.14847
71	10	1	0.15382
73	10	1	0.16027
75	10	1	0.171259
77	10	1	0.17477
79	10	1	0.17779
81	10	1	0.1776
83	10	1	0.1813
85	10	1	0.1868
87	10	1	0.19384
89	10	1	0.22491
91	10	1	0.20627
93	10	1	0.21434
95	10	1	0.22465
97	10	1	0.27736
99	10	1	0.24486
101	10	1	0.25171
103	10	1	0.24573
105	10	1	0.25233
107	10	1	0.2599
109	10	1	0.26633
111	10	1	0.3068
113	10	1	0.33626
115	10	1	0.29322
117	10	1	0.3008
119	10	1	0.32194
121	10	1	0.32582
123	10	1	0.33835
125	10	1	0.34426
127	10	1	0.35514
129	10	1	0.380019
131	10	1	0.21814
133	10	1	0.26585
135	10	1	0.22774
137	10	1	0.23067
139	10	1	0.23827
141	10	1	0.2616
143	10	1	0.27277
145	10	1	0.42502
147	10	1	0.68108
149	10	1	0.48939
151	10	1	0.4658
153	10	1	0.511569
155	10	1	0.57869
157	10	1	0.51066
159	10	1	0.57272
161	10	1	0.5283
163	10	1	0.52236
165	10	1	0.55295
167	10	1	0.58797
169	10	1	0.7596
171	10	1	0.74273
173	10	1	0.39349
175	10	1	0.42471
177	10	1	0.352599
179	10	1	0.37767
181	10	1	0.56264
183	10	1	0.40808
185	10	1	0.37956
187	10	1	0.39726
189	10	1	0.51364
191	10	1	0.41963
193	10	1	0.42446
195	10	1	0.41873
197	10	1	0.446289
199	10	1	0.44854
201	10	1	0.46355
203	10	1	0.4618
205	10	1	0.45492
207	10	1	0.47204
209	10	1	0.49089
211	10	1	0.58986
213	10	1	0.89528
