N	Time(ms)
0	0.00016
5	0.01022
10	0.01925
15	0.035701
20	0.06008
25	0.097241
30	0.143251
35	0.201642
40	0.343812
45	0.490443
50	0.523104
55	0.569944
60	0.698416
65	0.916427
70	1.09175
75	1.66717
80	2.10488
85	2.38335
90	2.57586
95	2.4339
100	2.85054
105	3.23353
110	3.63221
115	4.08508
120	4.57371
125	5.13352
130	5.81243
135	5.43328
140	5.77656
145	6.25622
150	6.66884
155	7.5971
160	8.17868
165	8.98248
170	9.61165
175	10.4524
180	11.4035
185	12.1091
190	13.1257
195	14.1226
200	14.7933
205	15.9732
210	17.2434
215	18.4833
220	19.7659
225	20.8759
230	22.2367
235	23.9045
240	25.0134
245	26.7214
250	28.089
255	30.726
260	31.869
265	33.7365
270	35.3161
275	37.3123
280	39.7454
285	42.4702
290	43.4111
295	44.8518
300	47.5046
305	50.3416
310	52.0626
315	54.3681
320	57.5891
325	59.9091
330	64.148
335	66.7844
340	69.0867
345	71.6507
350	74.8782
355	78.0687
360	80.7038
365	83.9081
370	87.0426
375	90.8073
380	94.272
385	97.919
390	101.386
395	105.843
400	109.64
405	113.663
410	117.019
415	121.997
420	126.53
425	130.843
430	133.113
435	139.473
440	144.413
445	148.521
450	153.582
455	158.354
460	164.761
465	169.681
470	173.908
475	179.855
480	185.657
485	191.13
490	198.189
495	202.149
