NDomain	NNode	Time(ms)
4	181	71.9237
4	152	24.0962
4	156	22.8615
4	176	25.5319
4	156	22.011
4	171	25.5133
4	160	22.9573
4	177	24.6578
4	150	20.7698
4	168	24.402
4	151	19.7907
4	177	24.6478
4	156	20.689
4	158	21.0472
1	119	14.8911
1	157	22.5619
1	107	14.2287
1	170	23.5439
1	119	15.648
1	163	22.4129
1	111	23.0387
1	146	34.36
4	166	43.2506
4	163	22.3991
4	141	19.0921
4	123	15.9316
4	151	21.5267
4	167	23.4649
4	146	19.953
4	129	16.9488
4	129	16.845
4	161	21.5519
4	133	16.2385
4	159	22.1315
4	156	19.8082
4	166	21.7489
4	156	20.2862
4	146	18.5104
4	110	13.6314
4	163	20.5098
4	152	31.8827
4	121	24.3762
1	86	16.3163
1	113	14.9681
1	125	15.5188
1	127	16.5421
4	143	19.3254
4	150	19.6004
1	143	17.4381
1	141	17.849
1	102	12.1893
4	173	31.7436
4	147	19.3567
4	123	15.2945
4	149	19.0417
4	160	20.0733
4	146	17.6993
4	130	16.0034
4	125	14.2087
4	133	16.0217
1	139	26.5441
1	142	26.9219
4	165	40.5733
4	137	16.5308
4	148	17.9398
4	133	15.6166
4	133	15.8728
4	142	17.2407
4	129	16.0983
4	115	13.0305
4	125	13.983
4	133	15.9611
4	127	14.5696
4	134	16.6068
4	133	15.3667
4	102	11.3373
4	181	27.2369
1	106	11.2694
4	184	27.1994
4	122	13.5487
4	112	13.5583
4	106	12.391
4	106	12.2445
4	96	10.7542
4	180	24.3294
1	85	9.49831
4	185	24.2336
4	123	13.8239
4	123	13.4169
4	194	23.8384
4	122	13.2493
4	105	10.6867
4	125	13.6561
4	122	12.8213
4	108	10.515
1	87	8.15748
4	198	23.2123
4	117	11.4666
4	127	13.1057
4	124	13.0643
4	119	12.4603
4	107	10.4582
4	104	10.7572
4	98	10.1473
4	93	9.18646
4	97	9.50948
4	102	10.3473
4	103	10.0485
4	190	20.3453
4	94	9.11509
4	106	10.1429
4	81	8.0211
4	98	8.98573
4	199	19.7861
4	90	7.88913
1	128	9.86536
4	200	19.4707
4	112	10.3866
4	102	9.27485
4	85	7.46988
4	103	8.89901
4	180	17.3274
4	75	6.37109
4	85	7.7439
4	89	6.93383
1	70	6.2351
1	59	5.9546
4	190	17.1199
4	190	16.9026
4	102	8.35468
4	75	5.66373
4	91	8.34028
4	194	16.5536
4	89	5.18624
4	90	6.36211
4	107	8.67111
4	77	5.6855
1	60	4.45162
1	52	3.91543
4	203	15.9798
4	66	7.61531
4	86	11.1702
4	86	11.0538
4	84	10.5403
4	91	11.9639
4	200	22.3826
4	87	6.06418
4	77	5.76497
4	78	5.34261
4	70	4.50305
4	70	4.45245
4	215	13.4378
4	63	3.99761
4	71	4.16984
4	82	5.44224
4	83	5.39915
4	82	5.08326
4	216	12.7385
4	71	3.87092
4	73	3.82287
4	62	7.07723
4	197	18.71
4	66	5.86557
4	69	7.60948
4	201	18.1631
4	85	5.86649
4	202	10.629
4	83	4.6151
4	61	2.73687
4	59	2.47081
4	207	10.398
4	56	2.25246
4	56	2.22561
4	63	2.51758
4	208	9.93042
4	82	3.73629
4	58	2.16828
4	50	1.60316
4	68	2.42627
4	68	2.20949
4	53	4.33933
4	42	2.01311
4	61	5.22998
1	82	8.69373
4	64	5.67789
1	51	2.89217
4	53	3.57245
1	72	4.75095
1	65	3.7601
1	53	2.97513
4	65	4.74529
4	56	3.59558
1	39	1.62587
4	52	2.90149
4	65	4.24553
4	62	4.47892
4	69	5.16417
4	53	1.87476
4	53	1.67266
4	54	1.6522
4	47	2.38239
1	29	1.51914
4	42	2.30081
4	64	5.15684
4	46	2.38846
4	54	2.39495
4	41	1.6971
4	48	1.71658
4	51	2.33286
1	86	7.32847
1	66	4.42957
4	70	5.53463
4	70	6.256
4	65	4.4201
4	74	6.51455
4	73	6.3541
4	73	6.15668
4	65	4.15367
1	44	1.59119
1	39	0.867288
4	61	4.7346
4	66	4.77684
4	54	4.19144
4	58	3.67951
4	49	2.22446
4	66	4.76345
1	53	3.8324
1	50	2.1315
4	86	7.44482
4	56	3.40151
1	41	1.8743
1	51	2.78383
1	73	5.28314
1	85	7.68286
4	74	7.49809
4	69	5.90717
4	49	1.8937
4	73	3.87438
4	72	3.7063
4	74	3.30677
4	52	3.11265
4	69	5.87377
4	61	3.86921
4	61	3.74288
4	48	2.18252
4	47	2.33757
4	59	3.36516
4	57	2.9762
4	66	4.52915
4	74	6.06957
4	46	2.00144
4	68	5.20861
4	45	1.74658
4	69	5.02211
1	48	2.916
1	47	2.00671
1	25	0.907309
4	63	3.68636
1	40	1.14145
1	36	1.08363
4	45	2.01067
4	60	4.59533
4	46	2.7041
4	49	3.00341
4	39	1.35611
4	57	3.31306
4	62	4.00924
4	55	3.2752
4	45	1.18848
1	39	1.24871
1	43	1.65226
4	40	1.55133
4	50	2.51582
4	53	3.27049
4	65	4.31129
4	51	2.70314
4	71	4.50349
4	55	2.90741
4	36	1.30662
4	66	4.15746
4	33	1.33094
4	32	1.44768
1	19	0.458854
1	24	1.35965
1	18	0.535755
4	35	1.38518
4	73	5.57057
4	38	1.29928
1	40	1.24353
4	42	1.75007
4	45	1.73909
1	41	1.30113
4	40	1.56414
4	41	1.49156
4	36	1.16129
1	27	0.564216
4	39	1.2293
4	74	5.51279
4	65	5.04399
1	73	5.16041
4	72	5.42841
4	70	4.46346
4	76	5.85871
4	78	5.51164
4	74	5.19528
4	85	6.1914
1	80	5.57388
1	77	5.59278
4	78	6.58086
4	62	5.16723
4	78	7.46583
1	79	5.82198
1	72	4.95998
4	75	4.46272
4	58	1.95129
4	59	2.00724
1	33	0.781607
1	47	1.37533
4	80	3.31622
4	65	2.26878
4	59	5.52116
4	57	3.88226
1	35	1.86238
1	45	2.62477
4	50	2.53964
4	65	3.8291
4	62	3.84879
4	59	3.4716
4	63	4.18102
